,Date,Event / Info,Source,Type
,05/13/24,"Harvard University Police Enter Encampment, Photograph Protesters",Crimson,
,05/14/24,Harvard Out of Occupied Palestine Ends Harvard Yard Encampment,Crimson,
,5/14 or 5/15,Garber and Hoekstra each published statements on the dispersal of the encampment that suggested no/light consequences. We privately pressed for him to clarify and he did.,,
,05/17/24,"The House Committee on Education and the Workforce releases a report detailing a conflict between former President Claudine Gay (PhD ‘98) and the antisemitism advisory group she established after the October 7 Hamas attack on Israel. The report reveals that five of the eight advisory members threatened to resign shortly after the group's formation, criticizing Harvard’s leaders for not following their recommendations. Harvard spokesperson Jason Newton calls the report ""an incomplete and inaccurate view"" of Harvard's efforts against antisemitism",Crimson,
,,,,
,05/20/24,The Harvard Jewish Alumni Alliance (HJAA) releases a study about how Jewish students at Harvard feel ostracized and harassed by both peers and faculty. ,HJAA Report,
,05/29/24,"The Brandeis Center and Jewish Americans for Fairness in Education sue Harvard, accusing it of ignoring antisemitism and creating a hostile environment for Jewish students.",Crimson,
,06/09/24,"New Exec Director of Harvard Hillel Discusses the Future of Jewish Community on Campus -- ""The Present and Future of Jewish Life at Harvard:"" A conversation between Harvard Hillel board co-chair Adina Astor and Harvard Hillel Executive Director Rabbi Jason Rubenstein",Webinar,
,06/26/24,Harvard’s presidential task forces to combat antisemitism and anti-Muslim and anti-Arab bias release their preliminary recommendations,Crimson,
,,Harvard Places 10 Graduate Students on Probation for Encampment Participation,Crimson,
,,Rabbi David Wolpe recounts his past year as visiting scholar at HDS (and publishes related op-ed in the WSJ),Jewish Journal,
,06/27/24,"Harvard Hillel Executive Director Rabbi Jason Rubenstein (AB ‘04) calls for swift implementation of both the task force’s and Hillel’s proposals. He emphasizes that the recommendations are a starting point needing Harvard leadership’s acceptance. Rubinstein outlines additional measures Harvard should take: requiring neutrality from those in teaching and student-support roles, publicly reporting Title VI complaints, reaching out to concerned Jewish high school seniors, and covering security costs for Jewish students at Hillel. [we sent a letter from the board and Jason to senir admin - is this what you're talking about? I would like to highlight these letters if possible as they have been ahead of the curve in pushing for changes that are now happening]",Hillel Email,
,07/17/24,"Shabbos Kestenbaum (MTS ‘24) speaks at the Republican National Convention, denouncing Harvard for fostering antisemitism. He endorses former President Donald Trump’s plan to deport foreign students involved in pro-Palestine protests. He accuses Harvard of being anti-Western, anti-American, and antisemitic, referencing incidents like the vandalism of Israeli and American flags he planted.",Crimson,
,07/18/24,"Jewish senior Matthew Nekritz (AB ‘25) acknowledges deep antisemitism at Harvard but criticizes Shabbos Kestenbaum’s approach, saying in the Crimson, it has “made our campus a more hostile environment.”",Crimson,
,07/19/24,Harvard standardizes fact-finding procedures for disciplinary cases across the University after students who participated in the pro-Palestine encampment faced different disciplinary charges depending on which school they attended.,https://www.thecrimson.com/article/2024/7/19/harvard-rights-and-responsibilities-disciplinary-process/,
,07/25/24,"Israeli Prime Minister Benjamin Netanyahu directly references Harvard during his address to a joint meeting of Congress on Wednesday: “Eighty years after the Holocaust, the presidents of Harvard, Penn, and I’m ashamed to say my alma mater MIT couldn’t bring themselves to condemn the calls for the genocide of Jews.""",Times of Israel,
,07/31/24,"Hillel International, the Anti-Defamation League (ADL), and related nonprofits release recommendations to combat antisemitism on university campuses. Key points include:
(1) Clearly communicate campus rules, standards, and policies;
(2) Support Jewish students, including by providing antisemitism education and training;
(3) Ensure campus safety, including by enforcing codes of conduct and reaffirming “rejection of BDS and academic boycotts of Israel”;
(4) Reaffirm faculty responsibilities for “students’ academic freedom and a non-discriminatory learning environment in the classroom”;
(5) Prepare for disruptions on the anniversary of October 7 to ensure “any protest activities do not interfere with campus operations or Jewish students’ rights.”",Hillel International,
,08/02/24,Harvard announces President Garber will stay on as President until the end of the 2026-7 academic year.,Crimson,
,08/27/24,"Harvard Hillel Executive Director Jason Rubenstein (AB ‘04) held a 90-minute webinar covering (1) how Harvard Hillel is approaching this academic year, (2) campus antisemitism in historical context, and (3) what parents and alumni can do.",Outline / Recording,
,08/31/24,Harvard Says Police May End Protests That Cause ‘Substantial’ Campus Disruption,Crimson,
,09/03/24,"HUPD investigates the disappearance of a mezuzah (a parchment with Hebrew Torah verses affixed to doorposts) from the dorm room door of Sarah Silverman (AB '28). The mezuzah is found “three doors down from the student’s room and returned,” according to HUPD.",Crimson,
,09/07/24,Harvard President Garber Has Separate Meetings with pro and anti-BDS groups on campus,Crimson,
,09/22/24,"Over 900 people attend “Crisis on Campus: Zionism, Antisemitism and the Future of Higher Education,” a daylong summit in Sanders Theatre hosted by the Harvard Jewish Alumni Alliance (HJAA) and co-sponsored by Harvard Hillel and Harvard Chabad.",Crimson / Algemeiner,
,09/24/24,"Led by HBS professor Jeff Bussgang (AB ‘91, MBA ‘95), over a dozen Jewish HBS faculty add mezuzahs provided by Harvard Hillel to their office doorposts as a “sign of solidarity with the students – and as an expression of our faith.”",Crimson,
,10/02/24,"Harvard Hillel hosts ""What is a Hillel After October 7? The Promise & Peril of Jewish Pluralism in a Time of Polarization"" webinar",Webinar,
,10/07/24,"Over 400 people attend a vigil on the steps of Widener Library to mark the one-year anniversary of the October 7 attacks on Israel. Attendees include Harvard President Alan Garber (AB ’77, AM ’77, PhD ’82) and Dean of the College Rakesh Khurana (PhD ‘98). Speakers include Harvard Hillel Executive Director Jason Rubenstein (AB ’04)",Crimson,
,,"Harvard Undergraduate Palestine Solidarity Committee (PSC) posts a message on Instagram declaring, ""Now is the time to escalate,"" and urging Harvard to disclose and divest from the ""genocidal regime"" of Israel. They go on, “the student intifada rises to demand that Harvard end all support for death and colonialism in Palestine and beyond,” and refer to Harvard as ""the imperial core.""",IG,
,10/10/24,"PSC statement is criticized by Charlie Covit (AB ‘26) in a Crimson op-ed, President Emeritus and University Professor Larry Summers (PhD ‘82), and in a personal capacity by President Alan Garber (AB ’77, AM ’77, PhD ’82).",Crimson,
,,Garber's response to PSC statement is criticized from all sides.,Crimson,
,10/15/24,Swastika-Star of David stickers found near Harvard Hillel,https://www.thecrimson.com/article/2024/10/15/antisemitic-stickers-outside-hillel/,Harvard campus event
,October 2024?,Congress releases subpoenaed emails from Harvard leaders re: 10/9 statement,https://www.thecrimson.com/article/2024/11/1/house-committee-antisemitism-report/,Federal action; official Harvard statement
,01/01/24?,"Title VI settlement (mostly) settled; press-released, IHRA definition, etc",,
,January 2024?,3 profs quit,,
,10/29/24,"Over 70 Harvard students gather for a silent ""study-in"" protest at Widener Library's Loker Reading Room.",Crimson,
,11/02/24,"Dean of FAS Hopi Hoekstra says at an FAS meeting that she “fully support[s]” Martha Whitehead,” head of Harvard Libraries, in her decision to temporarily suspend library access for students and faculty who participated in “study-in” protests in libraries.",Crimson,
,11/05/24,"More than 55 students, led by Jewish HDS students, hold a “pray-in” protest at the Harvard Divinity School library to push the university to divest from Israel in protest of the war in Gaza",Crimson,
,11/09/24,"Around 35 faculty and library staff stage the second ""study-in"" protest at Widener Library this year. Unlike previous in-library protests, library staff and security did not check IDs or record participant names.",,
,11/09/24,Harvard Law School administrators reject appeals from students to reverse temporary suspensions from the school’s library in Langdell Hall over their participation in pro-Palestine “study-ins” last month,Crimson,
,,,,
,11/12/24,put in each year PSC called for Trek boycotts [what about apartheid wall],https://www.thecrimson.com/article/2024/11/12/psc-urges-boycott-israel-trek/,
,11/13/24,"Harvard Divinity School students who participated in last week’s “pray-in” protest at the HDS library, led primarily by Jewish students, have their library access suspended for two weeks.",Crimson,
,11/??/24,"Harvard publishes, “Frequently Asked Questions: Protests in Libraries.”",Harvard,
,11/18/24,"""'Zionists not Welcome here"" protest outside of Hillel",Crimson,
,,"Chaplains Condemn ""Zionists are Not Welcome Here"" rhetoric",,
,11/20/24,"Harvard economics professor Roland Fryer speaks on the ""Invested with Michael Eisenberg"" podcast on the subject of ""Is Harvard Safe for Jews and Israelis?""",Podcast,
